"//(Note: The 'images' folder is assumed to be in the ""/content/<course path>/"" directory)",,,,
"//Question Text is always a required field",,,,
"//An ID will be generated using the (Course code)-(Question number) if an ID is not specified for a question",,,,
"//Please ensure that the CSV file is saved as ""CSV UTF-8"" encoded",,,,
,,,,
NewQuestion,MC,,,
ID,ES-1101,,,
Title,Risco vs. problema,,,
QuestionText,"Um projeto de sistema de agendamento médico está na semana 4 de desenvolvimento. Durante a reunião de acompanhamento, o gerente diz: 'A integração com a API de pagamento está atrasada. O fornecedor prometeu o ambiente de homologação para a semana 2 e ainda não entregou.' A equipe havia registrado esse item como risco no plano inicial.

Considerando a diferença entre risco e problema, qual é a situação atual desse item e qual deveria ter sido a conduta correta enquanto ainda era um risco?",,,
Points,1,,,
Difficulty,3,,,
Option,0,"É um risco, pois ainda há chance de o fornecedor entregar. A conduta correta era aguardar.",,"Incorreto. Na semana 4, com duas semanas de atraso, o evento já se concretizou. Não é mais uma possibilidade: é um fato. Aguardar passivamente não é uma conduta de gerência de riscos."
Option,100,"Já é um problema, pois o atraso se concretizou. Enquanto era risco, a conduta correta era preparar uma alternativa (como um simulador da API) e acompanhar o prazo do fornecedor.",,"Correto. O atraso já aconteceu, portanto é um problema. Enquanto era risco (antes da semana 2), o gerente deveria ter preparado um plano de contingência, como desenvolver um simulador para não bloquear o restante do desenvolvimento."
Option,0,"É um problema, mas não havia o que fazer antes, pois riscos são imprevisíveis.",,"Incorreto. Riscos não são imprevisíveis. A própria equipe havia identificado esse risco no plano inicial, o que significa que era possível antecipá-lo e preparar uma resposta."
Option,0,"Ainda é um risco, porque o projeto não foi cancelado. A conduta correta era terceirizar a integração.",,"Incorreto. O evento já ocorreu (o fornecedor não entregou), portanto não é mais risco. Terceirizar pode ser uma ação corretiva, mas não substitui o planejamento prévio de contingência.",,,
,,,,
NewQuestion,MC,,,
ID,ES-1102,,,
Title,Categorias de risco,,,
