// Questionario de treino para Avaliacao C1 - REDES INDUSTRIAIS E LIOT,,,,
// Arquivo em formato compativel com Sample_Question_Import_UTF8.csv,,,,
,,,,
NewQuestion,MC,,,
ID,REDES-C1-EXC-001,,,
Title,IIoT Edge Computing e Industria 4.0 - prova,,,
QuestionText,"Avalie as afirmações abaixo sobre IIoT, Edge Computing e Indústria 4.0 e marque (V) para Verdadeiro ou (F) para Falso:<br><br>A Internet Industrial das Coisas (IIoT) utiliza sensores, máquinas e dispositivos conectados para coletar dados em tempo real, permitindo monitoramento, análise e apoio à tomada de decisão no ambiente industrial.<br><br>Edge Computing centraliza todo o processamento de dados em um único servidor distante da fábrica, aumentando a latência para garantir maior segurança na comunicação.<br><br>Na trajetória de maturidade da Indústria 4.0, a conectividade representa a etapa em que máquinas e componentes deixam de operar isoladamente e passam a trocar dados de forma padronizada.<br><br>A adaptabilidade é uma etapa associada à capacidade de automatizar ações e permitir que sistemas tomem decisões com base em inteligência e análise do ambiente produtivo.",,,
Points,1,,,
Difficulty,3,,,
Option,100,"V, F, V, V",,"Correto. IIoT coleta dados industriais em tempo real, Edge Computing aproxima o processamento da borda, conectividade integra máquinas e adaptabilidade permite automação de decisões."
Option,0,"V, V, F, V",,"Incorreto. Edge Computing não centraliza o processamento em servidor distante; ela descentraliza e aproxima o processamento dos dispositivos."
Option,0,"F, F, V, V",,"Incorreto. A primeira afirmação está correta: IIoT usa dispositivos conectados para monitoramento e análise no ambiente industrial."
Option,0,"V, F, F, F",,"Incorreto. Conectividade e adaptabilidade foram descritas corretamente nas afirmações apresentadas."
Feedback,"A sequência correta é V, F, V, V.",,,
,,,,
NewQuestion,MC,,,
ID,REDES-C1-EXC-002,,,
Title,IIoT Edge Computing e Industria 4.0 - treino,,,
QuestionText,"Avalie as afirmações abaixo sobre IIoT, Edge Computing e maturidade para Indústria 4.0 e marque (V) para Verdadeiro ou (F) para Falso:<br><br>Dispositivos IIoT podem coletar dados diretamente do chão de fábrica e enviá-los para análise, monitoramento e tomada de decisão.<br><br>Edge Computing busca reduzir a latência ao aproximar parte do processamento dos equipamentos e sensores industriais.<br><br>A etapa de visibilidade ocorre antes da coleta de dados por sensores e não depende de registros em tempo real.<br><br>A capacidade preditiva permite antecipar eventos e reduzir impactos negativos, como paradas inesperadas de máquinas.",,,
Points,1,,,
Difficulty,3,,,
Option,100,"V, V, F, V",,"Correto. IIoT coleta dados, Edge reduz latência, visibilidade depende de dados/sensores e a capacidade preditiva antecipa eventos."
Option,0,"V, F, F, V",,"Incorreto. Edge Computing aproxima o processamento da borda para reduzir latência."
Option,0,"F, V, V, F",,"Incorreto. IIoT coleta dados industriais e capacidade preditiva ajuda a antecipar problemas."
Option,0,"V, V, V, F",,"Incorreto. A visibilidade depende da captura de dados ao longo da cadeia, e a capacidade preditiva foi descrita corretamente."
Feedback,"A sequência correta é V, V, F, V.",,,
,,,,
NewQuestion,MC,,,
ID,REDES-C1-EXC-003,,,
Title,Modelos OSI e TCP IP - prova,,,
QuestionText,"A estruturação da comunicação em redes por camadas facilita a análise de sistemas complexos. Sobre os modelos OSI e TCP/IP, assinale a alternativa CORRETA:",,,
Points,1,,,
Difficulty,3,,,
Option,0,"O modelo TCP/IP possui sete camadas exatamente iguais às do modelo OSI, incluindo as camadas de Sessão e Apresentação como camadas independentes.",,"Incorreto. O modelo TCP/IP não possui exatamente as mesmas sete camadas do modelo OSI."
Option,100,"A camada de Aplicação do TCP/IP inclui protocolos como HTTP, FTP, Telnet e DNS, que fornecem serviços diretamente utilizados por aplicações.",,"Correto. HTTP, FTP, Telnet e DNS são exemplos de protocolos de aplicação."
Option,0,"A camada Física do modelo OSI é responsável por definir os métodos HTTP, como GET, POST, PUT e DELETE.",,"Incorreto. Métodos HTTP pertencem à camada de aplicação."
Option,0,"O protocolo IP atua na camada de Transporte e garante, sozinho, a entrega confiável e ordenada de todos os dados.",,"Incorreto. IP atua na camada de Internet/Rede e não garante entrega confiável e ordenada."
Feedback,"A alternativa correta é a que associa a camada de Aplicação do TCP/IP a protocolos como HTTP, FTP, Telnet e DNS.",,,
,,,,
NewQuestion,MC,,,
ID,REDES-C1-EXC-004,,,
Title,Modelos OSI e TCP IP - treino,,,
QuestionText,"Sobre os modelos OSI e TCP/IP e o processo de comunicação em camadas, assinale a alternativa CORRETA:",,,
Points,1,,,
Difficulty,3,,,
Option,100,"No modelo TCP/IP, a camada de Internet está associada ao protocolo IP e ao encaminhamento de pacotes entre redes.",,"Correto. IP é o principal protocolo da camada de Internet do TCP/IP."
Option,0,"No modelo OSI, a camada de Aplicação é responsável por transmitir sinais elétricos no cabo de rede.",,"Incorreto. Transmissão de sinais é função da camada Física."
Option,0,"TCP e UDP são protocolos da camada Física, pois controlam diretamente o meio de transmissão.",,"Incorreto. TCP e UDP pertencem à camada de Transporte."
Option,0,"Ethernet é um protocolo exclusivo da camada de Aplicação usado para páginas Web.",,"Incorreto. Ethernet está associada às camadas de Enlace/Física, não à aplicação Web."
Feedback,"A alternativa correta identifica IP como protocolo da camada de Internet do modelo TCP/IP.",,,
,,,,
NewQuestion,M,,,
ID,REDES-C1-EXC-005,,,
Title,Elementos de rede - prova,,,
QuestionText,"Relacione os elementos de rede com suas respectivas funções ou características técnicas:",,,
Points,1,,,
Difficulty,3,,,
Scoring,EquallyWeighted,,,
Choice,1,Switch,,
Choice,2,Roteador,,
Choice,3,TCP,,
Choice,4,HTTP,,
Match,4,"Protocolo da camada de Aplicação utilizado em comunicações cliente-servidor na Web, com requisições e respostas.",,
Match,2,"Equipamento associado à interligação de redes diferentes, atuando com endereçamento IP.",,
Match,3,"Protocolo de Transporte orientado à conexão, utilizado por várias aplicações para comunicação confiável.",,
Match,1,"Equipamento associado à rede local, operando principalmente com endereços MAC na camada de Enlace.",,
Feedback,"A relação correta é HTTP, Roteador, TCP e Switch.",,,
,,,,
NewQuestion,M,,,
ID,REDES-C1-EXC-006,,,
Title,Elementos de rede - treino,,,
QuestionText,"Relacione cada protocolo ou elemento de rede com sua função principal:",,,
Points,1,,,
Difficulty,3,,,
Scoring,EquallyWeighted,,,
Choice,1,IP,,
Choice,2,UDP,,
Choice,3,Ethernet,,
Choice,4,DNS,,
Match,4,"Serviço/protocolo usado para associar nomes de domínio a endereços utilizados na rede.",,
Match,1,"Protocolo associado ao endereçamento e ao encaminhamento de pacotes entre redes.",,
Match,3,"Tecnologia/protocolo associado à comunicação em redes locais, quadros e endereços MAC.",,
Match,2,"Protocolo de transporte sem conexão, usado quando a aplicação não exige o mesmo controle de confiabilidade do TCP.",,
Feedback,"DNS resolve nomes, IP endereça e encaminha pacotes, Ethernet atua na rede local e UDP é transporte sem conexão.",,,
,,,,
NewQuestion,MC,,,
ID,REDES-C1-EXC-007,,,
Title,Funcionamento do HTTP - prova,,,
QuestionText,"Sobre o funcionamento do protocolo HTTP, marque a alternativa INCORRETA:",,,
Points,1,,,
Difficulty,3,,,
Option,0,"O HTTP opera na camada de Aplicação e normalmente utiliza TCP como protocolo de transporte.",,"Incorreto como resposta, pois a afirmação é verdadeira."
Option,0,"O HTTP segue um modelo cliente-servidor, no qual o cliente envia requisições e o servidor retorna respostas.",,"Incorreto como resposta, pois a afirmação é verdadeira."
Option,0,"O HTTP é considerado stateless, ou seja, cada requisição é tratada de forma independente, embora aplicações possam usar mecanismos como sessão para manter estado.",,"Incorreto como resposta, pois a afirmação é verdadeira."
Option,100,"O HTTP criptografa obrigatoriamente todos os dados enviados no corpo da requisição, inclusive quando usado sem HTTPS.",,"Correto. Esta é a alternativa incorreta, pois HTTP sem HTTPS não criptografa obrigatoriamente os dados."
Feedback,"A alternativa incorreta é a que afirma que HTTP criptografa obrigatoriamente os dados mesmo sem HTTPS.",,,
,,,,
NewQuestion,MC,,,
ID,REDES-C1-EXC-008,,,
Title,Funcionamento do HTTP - treino,,,
QuestionText,"Sobre HTTP, TCP/IP e comunicação cliente-servidor, marque a alternativa INCORRETA:",,,
Points,1,,,
Difficulty,3,,,
Option,0,"Uma requisição HTTP pode ser enviada por um navegador para solicitar um recurso a um servidor Web.",,"Incorreto como resposta, pois a afirmação é verdadeira."
Option,0,"Uma resposta HTTP normalmente inclui um código de status que indica o resultado da requisição.",,"Incorreto como resposta, pois a afirmação é verdadeira."
Option,100,"Por ser stateless, o HTTP impede completamente qualquer aplicação Web de manter informações de sessão de usuários.",,"Correto. Esta é a alternativa incorreta; aplicações podem usar sessões, cookies ou tokens para manter estado."
Option,0,"O HTTP define padrões para requisições e respostas na camada de aplicação.",,"Incorreto como resposta, pois a afirmação é verdadeira."
Feedback,"HTTP é stateless no protocolo, mas aplicações podem manter estado usando mecanismos adicionais.",,,
,,,,
NewQuestion,M,,,
ID,REDES-C1-EXC-009,,,
Title,Metodos HTTP - prova,,,
