// Arquivo CSV UTF-8 para importacao de questoes objetivas de Sistemas Operacionais,,,,
// Imagens referenciadas em Image devem estar na pasta images/ do caminho de importacao do curso,,,,
,,,,
NewQuestion,MC,,,
ID,SO-PRE-001,,,
Title,Escalonamento FCFS e Round Robin,,,
QuestionText,"Considere os processos abaixo:<br><br><table border='1' cellpadding='4'><tr><th>Processo</th><th>Chegada</th><th>Burst CPU</th></tr><tr><td>P1</td><td>0</td><td>5</td></tr><tr><td>P2</td><td>1</td><td>3</td></tr><tr><td>P3</td><td>2</td><td>4</td></tr><tr><td>P4</td><td>4</td><td>2</td></tr></table><br>Compare a execucao desses processos usando FCFS e Round Robin com quantum q = 2, ignorando tempo de troca de contexto. Qual alternativa apresenta corretamente a ordem de execucao nos dois algoritmos?",,,
Points,1,,,
Difficulty,4,,,
Image,images/pre_prova_gantt_scheduling.png,,,
Option,100,"FCFS: P1, P2, P3, P4 / RR: P1, P2, P3, P1, P4, P2, P3, P1",,"Correto. O FCFS respeita a ordem de chegada; no Round Robin cada processo executa por ate 2 unidades antes de voltar ao fim da fila se ainda tiver CPU restante."
Option,0,"FCFS: P1, P3, P2, P4 / RR: P1, P2, P4, P3, P1, P2, P3, P1",,"Incorreto. No FCFS, P2 chega antes de P3; no RR, P4 nao executa antes de P3 receber seu primeiro quantum."
Option,0,"FCFS: P1, P2, P4, P3 / RR: P1, P3, P2, P4, P1, P3, P2, P1",,"Incorreto. No FCFS, P3 ja aguardava antes de P4 quando P2 termina."
Option,0,"FCFS: P2, P1, P3, P4 / RR: P2, P1, P3, P4, P1, P3, P2, P1",,"Incorreto. P1 e o unico processo disponivel no tempo 0, portanto deve iniciar nos dois algoritmos."
Feedback,"Gabarito: FCFS = 0-5 P1 | 5-8 P2 | 8-12 P3 | 12-14 P4. Round Robin = 0-2 P1 | 2-4 P2 | 4-6 P3 | 6-8 P1 | 8-10 P4 | 10-11 P2 | 11-13 P3 | 13-14 P1.",,,
,,,,
NewQuestion,M,,,
ID,SO-PRE-002,,,
Title,Deadlock - Condicoes Necessarias,,,
QuestionText,"Associe cada condicao necessaria para deadlock com sua definicao correta.",,,
Points,1,,,
Difficulty,3,,,
Scoring,EquallyWeighted,,,
Choice,1,Exclusao mutua,,
Choice,2,Posse e espera,,
Choice,3,Nao preempcao,,
Choice,4,Espera circular,,
Match,1,"Pelo menos um recurso so pode ser usado por um processo por vez.",,
Match,2,"Um processo mantem um recurso enquanto espera por outro.",,
Match,3,"Recursos nao podem ser retirados a forca de um processo.",,
Match,4,"Existe uma cadeia circular de processos esperando recursos uns dos outros.",,
Feedback,"Deadlock pode ocorrer quando exclusao mutua, posse e espera, nao preempcao e espera circular aparecem simultaneamente.",,,
,,,,
NewQuestion,MC,,,
ID,SO-PRE-003,,,
Title,Exclusao Mutua e Regiao Critica,,,
QuestionText,"Em um programa com multiplas threads, duas threads precisam acessar uma mesma estrutura compartilhada, como uma lista de pedidos ou um contador global. Para evitar inconsistencias, esse acesso deve ser protegido. Qual alternativa melhor descreve o papel da exclusao mutua nesse contexto?",,,
Points,1,,,
Difficulty,2,,,
Option,100,"Garantir que apenas uma thread por vez execute a regiao critica que acessa o dado compartilhado.",,"Correto. A exclusao mutua protege a regiao critica contra acessos simultaneos."
Option,0,"Garantir que todas as threads executem exatamente ao mesmo tempo para aumentar o paralelismo.",,"Incorreto. Exclusao mutua limita o acesso simultaneo a uma regiao critica."
Option,0,"Impedir que threads compartilhem variaveis globais entre si.",,"Incorreto. Threads podem compartilhar memoria; o problema e controlar o acesso."
