// Questionario objetivo para segunda avaliacao de Redes,,,,
// Arquivo em formato compativel com Sample_Question_Import_UTF8.csv,,,,
,,,,
NewQuestion,MC,,,
ID,REDES-AV2-001,,,
Title,Camada de Enlace e enquadramento,,,
QuestionText,"A camada física entrega apenas um fluxo contínuo de bits. Qual é a função central do enquadramento na camada de enlace?",,,
Points,1,,,
Difficulty,2,,,
Option,100,"Definir limites claros de início e fim dos quadros para que o receptor interprete unidades organizadas de dados.",,"Correto. O enquadramento transforma o fluxo bruto de bits em quadros reconhecíveis."
Option,0,"Escolher a rota IP de menor custo até a rede de destino.",,"Incorreto. Escolha de rotas é função da camada de rede."
Option,0,"Traduzir endereços IPv4 privados para endereços públicos.",,"Incorreto. Essa é a função do NAT, não do enquadramento."
Option,0,"Separar hosts em domínios de broadcast diferentes usando VLANs.",,"Incorreto. VLANs segmentam a LAN, mas não definem as fronteiras internas de um quadro."
Feedback,"O enquadramento existe porque o receptor precisa saber onde cada quadro começa e termina antes de verificar ou entregar seu conteúdo.",,,
,,,,
NewQuestion,MS,,,
ID,REDES-AV2-002,,,
Title,Deteccao e correcao de erros,,,
QuestionText,"Sobre detecção e correção de erros na camada de enlace, selecione todas as afirmações corretas.",,,
Points,1,,,
Difficulty,4,,,
Scoring,RightAnswers,,,
Option,1,"A detecção de erros permite ao receptor perceber que um quadro foi corrompido, mesmo que ele não consiga reconstruir automaticamente o conteúdo original.",,"Correto. Detectar erro não significa necessariamente corrigi-lo."
Option,1,"A correção de erros exige redundância suficiente para localizar e recuperar certos erros sem retransmissão.",,"Correto. Correção demanda mais informação redundante do que simples detecção."
Option,1,"O CRC é usado em quadros Ethernet como mecanismo de verificação de integridade no FCS.",,"Correto. O FCS normalmente usa CRC para detectar alterações no quadro."
Option,0,"Um código de Hamming não usa bits extras; ele corrige erros apenas repetindo o mesmo quadro várias vezes.",,"Incorreto. Hamming usa bits de verificação colocados de forma organizada."
